PRICE,LAPTOP_CONDITION,LAPTOP_BRAND,LAPTOP_MODEL,DEDICATED_GPU,GPU_GENERAL,GPU_INTEGRATED,CPU,RAM_SIZE,RAM_TYPE,SSD_SIZE,HDD_SIZE,STORAGE_SIZE,STORAGE_TYPE,SCREEN_SIZE,SCREEN_FREQUENCY,SCREEN_RESOLUTION,CITY,POST_YEAR,POST_MONTH
36.0,Etat moyen,,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,,,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,,,,NeedToBeFilled,NeedToBeFilled,El biar,2025,5
65000.0,Etat neuf,Hp,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,Intel® Core™ I5-8250U CPU UP  2.7 GHZ 8 Génération,8 GO,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,240GO,SSD,"17.3"" ",NeedToBeFilled,NeedToBeFilled,Bab ezzouar,2025,8
115000.0,Etat neuf,DELL,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,intel I5 -1345U,16 GO,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,512GO,SSD,"14"" ",NeedToBeFilled,NeedToBeFilled,Bab ezzouar,2025,7
62000.0,Bon état,,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,,,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,,,,NeedToBeFilled,NeedToBeFilled,Bab ezzouar,2025,7
,Etat neuf,Hp,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,Intel® Core™ I5-8250U CPU 1.8 GHZ 8eme Génération,8 GO,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,256GO,SSD,"14"" ",NeedToBeFilled,NeedToBeFilled,Bab ezzouar,2025,3
117000.0,Bon état,,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,INTEL CORE EVO I7 1185G7  4.8 GHZ,32 GO,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,512GO,SSD,"14"" ",NeedToBeFilled,NeedToBeFilled,Bab ezzouar,2025,6
59000.0,Etat moyen,DELL,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,CORE I5 1135G7,8 GO,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,256GO,SSD,"13"" ",NeedToBeFilled,NeedToBeFilled,Bab ezzouar,2025,8
,Bon état,Dell,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,Intel® Core™ i7 13850HX 20 Cœurs 30M Cache Boost 5.3 GHz,32 GO,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,1024GO,SSD,"173"" ",NeedToBeFilled,NeedToBeFilled,Bab ezzouar,2025,4
70000.0,Etat neuf,Intel,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,INTEL CORE I7 8665U,16 GO,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,256GO,SSD,"13.3"" ",NeedToBeFilled,NeedToBeFilled,Bab ezzouar,2024,12
195000.0,Etat neuf,HP,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,AMD Ryzen 5 8645Hs,8 GO,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,512GO,SSD,"15"" ",NeedToBeFilled,NeedToBeFilled,Alger centre,2024,12
163000.0,Etat neuf,Apple,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,M1,8 GO,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,256GO,SSD,"13"" ",NeedToBeFilled,NeedToBeFilled,Batna,2024,11
