PRICE,LAPTOP_CONDITION,LAPTOP_BRAND,LAPTOP_MODEL,DEDICATED_GPU,GPU_GENERAL,GPU_INTEGRATED,CPU,RAM_SIZE,RAM_TYPE,SSD_SIZE,HDD_SIZE,STORAGE_SIZE,STORAGE_TYPE,SCREEN_SIZE,SCREEN_FREQUENCY,SCREEN_RESOLUTION,CITY,POST_YEAR,POST_MONTH
75000000.0,BON TAT,NeedToBeFilled,IDEAPAD,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,INTEL CORE I5 750S,4GB,NeedToBeFilled,128GB,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,14.0,NeedToBeFilled,NeedToBeFilled,EL TAREF,2021,10
33500000.0,JAMAIS UTILIS,NeedToBeFilled,AERO,NVIDIA GEFORCE RTX 3060,NeedToBeFilled,NeedToBeFilled,11TH GEN INTEL CORE I7 11800H,16GB,NeedToBeFilled,1TB,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,15.6,NeedToBeFilled,3840x2160,COLLO,2021,11
17000000.0,NeedToBeFilled,NeedToBeFilled,STEALTH,NVIDIA GEFORCE GTX 1060,NeedToBeFilled,NeedToBeFilled,INTEL CORE I7 7700HQ,16GB,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,17.3,120Hz,NeedToBeFilled,MECHERIA,2021,9
12000000.0,NeedToBeFilled,NeedToBeFilled,ROG,NVIDIA GEFORCE RTX 1650,NeedToBeFilled,NeedToBeFilled,AMD RYZEN 7 5800HS,16GB,NeedToBeFilled,512GB,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,14.0,NeedToBeFilled,NeedToBeFilled,ES SENIA,2025,3
11000000.0,BON TAT,NeedToBeFilled,NeedToBeFilled,AMD RADEON RX 580,NeedToBeFilled,NeedToBeFilled,AMD RYZEN 5 2400G,16GB,NeedToBeFilled,128GB,145GB,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,60Hz,NeedToBeFilled,TIZI OUZOU,2024,10
9999999.0,NeedToBeFilled,NeedToBeFilled,XPS,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,10TH GEN INTEL CORE I5 10300H,8GB,NeedToBeFilled,512GB,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,15.0,NeedToBeFilled,1920x1080,MOHAMMADIA,2025,2
9900000.0,NeedToBeFilled,NeedToBeFilled,THINKPAD,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,AMD RYZEN 5 7520U,8GB,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,CHELGHOUM LAID,2025,4
9000000.0,BON TAT,NeedToBeFilled,LATITUDE,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,11TH GEN INTEL CORE I5,16GB,NeedToBeFilled,512GB,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,ALGER CENTRE,2025,7
8976378.0,JAMAIS UTILIS,NeedToBeFilled,SWORD,NVIDIA GEFORCE RTX 4070,NeedToBeFilled,NeedToBeFilled,INTEL CORE I7 13700HX,16GB,NeedToBeFilled,1TB,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,16.0,NeedToBeFilled,NeedToBeFilled,MOSTAGANEM,2025,2
8400000.0,BON TAT,NeedToBeFilled,LATITUDE,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,11TH GEN INTEL CORE I5 1145G7,8GB,DDR4,256GB,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,14.0,NeedToBeFilled,NeedToBeFilled,HAMMA BOUZIANE,2024,12
8000000.0,NeedToBeFilled,NeedToBeFilled,PAVILION,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,AMD RYZEN 5 PRO 8540U,16GB,NeedToBeFilled,256GB,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,13.0,NeedToBeFilled,NeedToBeFilled,BORDJ BOU ARRERIDJ,2024,10
8000000.0,NeedToBeFilled,NeedToBeFilled,LATITUDE,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,11TH GEN INTEL CORE I5 1135G7,16GB,NeedToBeFilled,512GB,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,14.0,NeedToBeFilled,1920x1080,AIN FAKROUN,2025,3
7900000.0,BON TAT,NeedToBeFilled,ELITEBOOK,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,INTEL CORE I5 1235U,16GB,NeedToBeFilled,512GB,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,15.0,NeedToBeFilled,NeedToBeFilled,AIN SMARA,2025,5
7200000.0,JAMAIS UTILIS,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,10TH GEN INTEL CORE I5 10210U,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,TOLGA,2025,7
7000000.0,BON TAT,NeedToBeFilled,LATITUDE,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,INTEL CORE I5 8365U,16GB,NeedToBeFilled,256GB,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,14.1,NeedToBeFilled,NeedToBeFilled,ALGER CENTRE,2025,7
6800000.0,BON TAT,NeedToBeFilled,THINKPAD,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,11TH GEN INTEL CORE I7 1165G7,8GB,NeedToBeFilled,512GB,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,16.4,NeedToBeFilled,NeedToBeFilled,SOUK AHRAS,2024,11
6500000.0,NeedToBeFilled,NeedToBeFilled,LATITUDE,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,11TH GEN INTEL CORE I5,8GB,NeedToBeFilled,256GB,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,12.0,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,2024,8
