PRICE,LAPTOP_BRAND,LAPTOP_MODEL,LAPTOP_CONDITION,CPU_BRAND,GPU_TYPE,RAM_GB,SSD_GB,HDD_GB,SCREEN_SIZE,SCREEN_RESOLUTION,CITY,POST_YEAR,POST_MONTH,RES_WIDTH,RES_HEIGHT,TOTAL_PIXELS,PPI,STORAGE_SCORE,CPU_TIER,BRAND_TIER,IS_GAMING
65000.0,HP,NEEDTOBEFILLED,Used - Excellent,Intel Core i5,Integrated,8.0,240.0,0.0,17.3,1920x1080,BAB EZZOUAR,2025,8,1920,1080,2073600,127.33567457123111,240.0,Mid-Range,Mainstream,0
115000.0,DELL,NEEDTOBEFILLED,Used - Excellent,Intel Core i5,Integrated,16.0,512.0,0.0,14.0,1920x1080,BAB EZZOUAR,2025,7,1920,1080,2073600,157.3505121487356,512.0,Mid-Range,Mainstream,0
62000.0,NAN,NEEDTOBEFILLED,Used - Good,Other,Integrated,0.0,0.0,0.0,15.6,1920x1080,BAB EZZOUAR,2025,7,1920,1080,2073600,141.21199808219862,0.0,Entry-Level,Budget,0
117000.0,NAN,NEEDTOBEFILLED,Used - Good,Intel Core i7,Integrated,32.0,512.0,0.0,14.0,1920x1080,BAB EZZOUAR,2025,6,1920,1080,2073600,157.3505121487356,512.0,High-End,Budget,0
59000.0,DELL,NEEDTOBEFILLED,ETAT MOYEN,Intel Core i5,Integrated,8.0,256.0,0.0,13.0,1920x1080,BAB EZZOUAR,2025,8,1920,1080,2073600,169.45439769863833,256.0,Mid-Range,Mainstream,0
70000.0,INTEL,NEEDTOBEFILLED,Used - Excellent,Intel Core i7,Integrated,16.0,256.0,0.0,13.3,1920x1080,BAB EZZOUAR,2024,12,1920,1080,2073600,165.6321180513006,256.0,High-End,Budget,0
195000.0,HP,NEEDTOBEFILLED,Used - Excellent,AMD Ryzen 5,Integrated,8.0,512.0,0.0,15.0,1920x1080,ALGER CENTRE,2024,12,1920,1080,2073600,146.86047800548656,512.0,Mid-Range,Mainstream,0
163000.0,APPLE,NEEDTOBEFILLED,Used - Excellent,Apple Silicon,Integrated,8.0,256.0,0.0,13.0,1920x1080,BATNA,2024,11,1920,1080,2073600,169.45439769863833,256.0,Premium,Premium,0
200000.0,NAN,NEEDTOBEFILLED,Used - Good,Apple Silicon,Integrated,16.0,512.0,0.0,14.0,1920x1080,BLIDA,2025,7,1920,1080,2073600,157.3505121487356,512.0,Premium,Budget,0
125000.0,LENOVO,NEEDTOBEFILLED,Used - Good,Intel Core i7,Integrated,16.0,1024.0,0.0,14.0,1920x1080,BAB EZZOUAR,2025,7,1920,1080,2073600,157.3505121487356,1024.0,High-End,Mainstream,0
74000.0,LENOVO,NEEDTOBEFILLED,Used - Excellent,Intel Core i5,Integrated,16.0,256.0,0.0,14.0,1920x1080,BAB EZZOUAR,2025,6,1920,1080,2073600,157.3505121487356,256.0,Mid-Range,Mainstream,0
85000.0,HP,NEEDTOBEFILLED,Used - Good,Intel Core i5,Integrated,8.0,256.0,0.0,14.0,1920x1080,BAB EZZOUAR,2024,11,1920,1080,2073600,157.3505121487356,256.0,Mid-Range,Mainstream,0
65000.0,AER,NEEDTOBEFILLED,Used - Excellent,Intel Core i5,Integrated,14.0,1.0,0.0,17.0,1920x1080,NAN,2024,8,1920,1080,2073600,129.58277471072344,1.0,Mid-Range,Budget,0
178000.0,NAN,NEEDTOBEFILLED,Never Used,Other,Integrated,0.0,0.0,0.0,15.6,1920x1080,ALGER CENTRE,2025,8,1920,1080,2073600,141.21199808219862,0.0,Entry-Level,Budget,0
109500.0,HP,NEEDTOBEFILLED,Never Used,Intel Core i5,Integrated,8.0,256.0,0.0,15.6,1920x1080,BAB EZZOUAR,2025,7,1920,1080,2073600,141.21199808219862,256.0,Mid-Range,Mainstream,0
63000.0,NAN,NEEDTOBEFILLED,Used - Excellent,Intel Core i7,Integrated,8.0,256.0,0.0,15.0,1920x1080,BAB EZZOUAR,2025,8,1920,1080,2073600,146.86047800548656,256.0,High-End,Budget,0
295000.0,INTEL,NEEDTOBEFILLED,Never Used,Intel Core i7,Integrated,16.0,512.0,0.0,16.0,1920x1080,MOHAMMADIA,2025,7,1920,1080,2073600,137.68169813014364,512.0,High-End,Budget,0
20000.0,NAN,NEEDTOBEFILLED,Used - Good,Other,Integrated,4.0,0.0,0.0,15.6,1920x1080,BIR EL DJIR,2024,10,1920,1080,2073600,141.21199808219862,0.0,Entry-Level,Budget,0
149000.0,DELL LATITUDE 5430,NEEDTOBEFILLED,Never Used,Intel Core i5,Integrated,16.0,256.0,0.0,14.0,1920x1080,EL ACHOUR,2025,8,1920,1080,2073600,157.3505121487356,256.0,Mid-Range,Budget,0
87000.0,LENOVO,NEEDTOBEFILLED,Used - Excellent,AMD Ryzen 7,Integrated,16.0,512.0,0.0,14.0,1920x1080,BAB EZZOUAR,2025,7,1920,1080,2073600,157.3505121487356,512.0,High-End,Mainstream,0
50000.0,APPEL,NEEDTOBEFILLED,ETAT MOYEN,Intel Core i3,Integrated,8.0,256.0,0.0,13.0,1920x1080,NAN,2024,9,1920,1080,2073600,169.45439769863833,256.0,Entry-Level,Budget,0
69000.0,GPD GAME PAD DIGITAL,NEEDTOBEFILLED,Never Used,Other,Integrated,8.0,256.0,0.0,15.6,1920x1080,BAB EZZOUAR,2025,8,1920,1080,2073600,141.21199808219862,256.0,Entry-Level,Budget,0
120000.0,HP,NEEDTOBEFILLED,Used - Excellent,AMD Ryzen 5,Integrated,16.0,512.0,0.0,15.0,1920x1080,AIN MLILA,2024,11,1920,1080,2073600,146.86047800548656,512.0,Mid-Range,Mainstream,0
135000.0,DELL,NEEDTOBEFILLED,Used - Excellent,Other,Integrated,32.0,512.0,0.0,14.0,1920x1080,KOUBA,2025,7,1920,1080,2073600,157.3505121487356,512.0,Entry-Level,Mainstream,0
145000.0,AMD,NEEDTOBEFILLED,Used - Good,AMD Ryzen 5,Integrated,16.0,256.0,0.0,14.0,1920x1080,KOUBA,2025,7,1920,1080,2073600,157.3505121487356,256.0,Mid-Range,Budget,0
45000.0,DELL LATITUDE,NEEDTOBEFILLED,Used - Excellent,Intel Core i5,Integrated,8.0,256.0,0.0,14.0,1920x1080,EL EULMA,2025,8,1920,1080,2073600,157.3505121487356,256.0,Mid-Range,Budget,0
60000.0,MSI GAMER,NEEDTOBEFILLED,Used - Good,Other,Integrated,16.0,0.0,0.0,17.0,1920x1080,NAN,2025,4,1920,1080,2073600,129.58277471072344,0.0,Entry-Level,Budget,0
250000.0,ASUS,NEEDTOBEFILLED,Used - Good,Other,Integrated,16.0,1.0,0.0,15.0,1920x1080,EL EULMA,2025,7,1920,1080,2073600,146.86047800548656,1.0,Entry-Level,Mainstream,0
99000.0,APPLE,NEEDTOBEFILLED,Never Used,Other,Integrated,0.0,64.0,0.0,15.6,1920x1080,KOUBA,2025,2,1920,1080,2073600,141.21199808219862,64.0,Entry-Level,Premium,0
85000.0,LENOVO,NEEDTOBEFILLED,Used - Good,Intel Core i5,Integrated,16.0,512.0,0.0,14.0,1920x1080,BAB EZZOUAR,2024,12,1920,1080,2073600,157.3505121487356,512.0,Mid-Range,Mainstream,0
120000.0,LENOVO,NEEDTOBEFILLED,Used - Good,Intel Core i7,Integrated,16.0,512.0,0.0,15.6,1920x1080,EL KHROUB,2024,9,1920,1080,2073600,141.21199808219862,512.0,High-End,Mainstream,0
78000.0,HP,NEEDTOBEFILLED,Used - Excellent,Intel Core i7,Integrated,8.0,512.0,0.0,13.0,1920x1080,BAB EZZOUAR,2024,12,1920,1080,2073600,169.45439769863833,512.0,High-End,Mainstream,0
62000.0,ASUS ROG,NEEDTOBEFILLED,Used - Good,Intel Core i5,Integrated,8.0,1256.0,0.0,15.6,1920x1080,BOUIRA,2024,11,1920,1080,2073600,141.21199808219862,1256.0,Mid-Range,Budget,0
43900.0,HP,NEEDTOBEFILLED,Used - Good,Intel Core i5,Integrated,8.0,564.0,0.0,14.0,1920x1080,ORAN,2024,11,1920,1080,2073600,157.3505121487356,564.0,Mid-Range,Mainstream,0
30000.0,NAN,NEEDTOBEFILLED,Used - Excellent,Other,Integrated,2.0,0.0,0.0,15.6,1920x1080,BOUMERDES,2024,8,1920,1080,2073600,141.21199808219862,0.0,Entry-Level,Budget,0
165000.0,SAMSUNG,NEEDTOBEFILLED,Used - Excellent,Other,Integrated,16.0,1500.0,0.0,15.0,1920x1080,BAB EZZOUAR,2024,8,1920,1080,2073600,146.86047800548656,1500.0,Entry-Level,Budget,0
269000.0,HP,NEEDTOBEFILLED,Used - Excellent,Intel Core i7,Integrated,32.0,1000.0,0.0,16.0,1920x1080,BAB EZZOUAR,2025,7,1920,1080,2073600,137.68169813014364,1000.0,High-End,Mainstream,0
178000.0,NAN,NEEDTOBEFILLED,Never Used,Intel Core i7,Integrated,16.0,512.0,0.0,13.0,1920x1080,BAB EZZOUAR,2024,7,1920,1080,2073600,169.45439769863833,512.0,High-End,Budget,0
209000.0,ASUS,NEEDTOBEFILLED,Used - Excellent,Other,Integrated,16.0,512.0,0.0,15.0,1920x1080,BAB EZZOUAR,2025,7,1920,1080,2073600,146.86047800548656,512.0,Entry-Level,Mainstream,0
25000.0,NAN,NEEDTOBEFILLED,Used - Good,Intel Core i3,Integrated,0.0,0.0,0.0,15.0,1920x1080,TIPAZA,2025,2,1920,1080,2073600,146.86047800548656,0.0,Entry-Level,Budget,0
42900.0,LENOVO,NEEDTOBEFILLED,Never Used,Other,Integrated,0.0,0.0,0.0,15.6,1920x1080,ORAN,2024,11,1920,1080,2073600,141.21199808219862,0.0,Entry-Level,Mainstream,0
148000.0,NAN,NEEDTOBEFILLED,Never Used,Other,Integrated,0.0,0.0,0.0,15.6,1920x1080,ALGER CENTRE,2024,10,1920,1080,2073600,141.21199808219862,0.0,Entry-Level,Budget,0
132000.0,ASUS,NEEDTOBEFILLED,Never Used,AMD Ryzen 5,Integrated,16.0,512.0,0.0,15.0,1920x1080,BAB EZZOUAR,2024,12,1920,1080,2073600,146.86047800548656,512.0,Mid-Range,Mainstream,0
170000.0,MACBOOK APPEL,NEEDTOBEFILLED,Used - Excellent,Other,Integrated,16.0,500.0,0.0,13.6,1920x1080,BOUKADIR,2025,8,1920,1080,2073600,161.97846838840428,500.0,Entry-Level,Budget,0
58000.0,LENOVO,NEEDTOBEFILLED,Used - Good,Intel Core i5,Integrated,0.0,256.0,0.0,17.0,1920x1080,DRARIA,2024,12,1920,1080,2073600,129.58277471072344,256.0,Mid-Range,Mainstream,0
345000.0,ASUS,NEEDTOBEFILLED,Used - Excellent,Intel Core i9,Integrated,32.0,1000.0,0.0,18.0,1920x1080,KOUBA,2025,8,1920,1080,2073600,122.38373167123879,1000.0,Premium,Mainstream,0
200000.0,LENOVO,NEEDTOBEFILLED,Never Used,Other,Integrated,16.0,0.0,0.0,15.6,1920x1080,BIRKHADEM,2025,4,1920,1080,2073600,141.21199808219862,0.0,Entry-Level,Mainstream,0
128000.0,NAN,NEEDTOBEFILLED,Never Used,Other,Integrated,0.0,0.0,0.0,15.6,1920x1080,ALGER CENTRE,2022,11,1920,1080,2073600,141.21199808219862,0.0,Entry-Level,Budget,0
269000.0,LENOVO,NEEDTOBEFILLED,Never Used,Other,Integrated,16.0,512.0,0.0,14.0,1920x1080,BAB EZZOUAR,2023,6,1920,1080,2073600,157.3505121487356,512.0,Entry-Level,Mainstream,0
143500.0,HP,NEEDTOBEFILLED,Never Used,Intel Core i7,Integrated,8.0,512.0,0.0,15.0,1920x1080,HAMMAMET,2025,8,1920,1080,2073600,146.86047800548656,512.0,High-End,Mainstream,0
25000.0,NAN,NEEDTOBEFILLED,Used - Excellent,Other,Integrated,0.0,0.0,0.0,15.6,1920x1080,BAB EZZOUAR,2024,9,1920,1080,2073600,141.21199808219862,0.0,Entry-Level,Budget,0
