reference,LAPTOP_MODEL,description,PRICE,created_at,city,spec_Carte graphique,LAPTOP_CONDITION,LAPTOP_BRAND,CPU,RAM_SIZE,spec_Reférence carte graphique dédiée,spec_Reférence carte graphique integrée,STORAGE_SIZE,SCREEN_SIZE,STORAGE_TYPE,RAM_GB,SSD_GB,HDD_GB
470 G5 ,"HP PROBOOK 470 G5 I5 8250U 8GB 240 SSD FULL HD 17.3""","💻 HP PROBOOK 470 G5 I5 8250U 8GB 240 SSD FULL HD 17.3"" 💻

💠 Processeur : Intel® Core™ I5-8250U CPU UP  2.7 GHZ 8 Génération
💠 Mémoire vive : 8 GB DDR4
💠 Disque Dur : 240SSD
💠 Ecran : 17.3"" Pouce  HD plus 1600X900
💠 Graphique Intégrée : Intel HD GRAPHIQUE 620
💠 Graphique dédié : NVIDIA GEFORCE 930 MX 2GB 
💠 Interface : 3 USB |HDMI | VGA| TYPE C | RG45 
💠 Clavier AZERTY
💠 Wifi | Bluetooth | WebCam
💠 Batterie EXELENTE | chargeur original
💠 System d'exploitation : Windows 11 Pro original 

💰 Prix : 65000 da 🔥🔥
-----------------------------------------------------
Pour plus d'info contactez moi 
📲Tel  :  /  
Bienvenue
Site Web :
 FACEBOOk: 
INSTAGRAM : /
Possibilité de facturation 
💵Paiement à la livraison",65000.0,2025-08-10T07:29:25.000Z,Bab ezzouar,Integrée + Dédiée,Etat neuf,HP,Intel® Core™ I5-8250U CPU UP  2.7 GHZ 8 Génération,8 GO,NVIDIA GeForce 930m 2gb,Intel HD graphique 620,240GO,17.3,SSD,8,240,0
DELL 7440,DELL LATITUDE 7440 /intel I5 -1345U/ram 16 GB DDR5/disk 512GB SSD/ 14pouce FHD IPS,"#لسنا_الوحيدين_لكننا_الافضل 😍
كما وعدناكم حنا نجيبولكم غير المركة ولباقي عليكم 🤩
🛑 هدا تاع صح سبيسيال شوف خويا واش كاين جديد 🥵🥵
🔴 أجهزة DELL  لا تكف عن إبهارنا بقدرتها على الجمع بين المواصفات الخارقة وكل ماهو جميل ، لكن هذه المرة مختلفة، فبلونه الجميل جدا ودقة شاشة عالية جدا قابلة للمس  وخصائص قوية جدا، معالج من الجيل الثالث عشر ورامات عالية السرعة 4800Mhzوتردد كل هذا في ⏪⏪
🛑 DELL LATITUDE 7440 I7 Professionnel 
 🔴  intel I5 -1345U 4.8 ghz
 🔴 ram 16GB DDR5. 4800MHZ
 🔴disk 512 gb ssd nvum
 🔴 carte graphique
 ⏩ intel iris xe graphique  4gb
 🔴ecran 14  pouce FHD    😍😍
 🔴 clavier  lumineux
 🔴 chargeur original 
 🔴 windows 11 original 
🔴PRIX :113000DA 
  Livraison 58 wilaya
 
 البيع في المحل 
  Microsoft pro babzouar
🔴 Adresse du Magasin 🏪 : Bab Ezzouar enface USTHB
Microsoft pro
P58P+RQ9, Bab Ezzouar


رابط صفحتنا على الأنستغرام 
/...
POSSIBILITE DE FACTURATION
LIVRAISON GRATUITE SUR 58 WILAYAS",115000.0,2025-07-21T14:17:49.000Z,Bab ezzouar,Intégrée,Etat neuf,DELL,intel I5 -1345U,16 GO,,intel iris xe graphique  4gb,512GO,14.0,SSD,16,512,0
,DELL LATITUDE 5410 I5_10310U 8GB 256 SSD ,"DELL LATITUDE 5410  .
Écran: 14.1 Pouce Full HD                
Processeur: intel® Core i5-10310Ude 10* Gen 
Mémoire: 8 GB De Ram
Stockage: 256   GB SSD
Carte Graphique
Lecteur d'empreintes digitales
PRIX: 62.000DA 
📱Téléphone/Whatsapp 
📍Adresse: Bab EZZOUAR Alger
🚚📦Livraison Gratuite 58 Wilaya",62000.0,2025-07-19T08:45:46.000Z,Bab ezzouar,,Bon état,,,,,,,15.6,,0,0,0
LENOVO THINKPAD X1 YOGA GEN 6 x360 ,LENOVO THINKPAD X1 YOGA GEN 6/INTEL I7-1185G7/32 GO 4267MHZ/ 512GO NVME/14 POUCE FHD X360 TACTILE,"#لسنا_الوحيدين_لكننا_الافضل 😍
شوف خويا الفار قليل وين تتلاقى  معاها وكي تتلاقى معاها متراطيهاش اليوم جبنالكم افار تاع صح
🛑🛑ORDINATEUR LAPTOP
🛑🛑LENOVO THINKPAD X1
YOGA GEN 6 x360 tactile
🔴CPU INTEL CORE EVO I7 1185G7  4.8 GHZ 
🛑RAM 32 LPDDR4X 4267MHZ
🛑DISQUE 512GO SSD NVME
🛑WIFI/BLUETOOTH/WEB CAM USB 4.0
🛑GRAPHICS INTEL IRIS XE 1536MO
🛑ECRAN 14” TACTILE x360
🛑CONVERTIBLE FULL HD+ (1920 × 1200)
🛑CALVIER RETRO ECLAIRE 
WINDOWS PRO 64BIT 11 ORIGINALE
GARANTIE + SERVICE APRES VENTE
🛑PRIX : 117 000 DA 
POSSIBILITE DE FACTURATION
LIVRAISON GRATUITE SUR 58 WILAYAS
GARANTIE",117000.0,2025-06-05T07:57:56.000Z,Bab ezzouar,Intégrée,Bon état,,INTEL CORE EVO I7 1185G7  4.8 GHZ,32 GO,,GRAPHICS INTEL IRIS XE 1536MO,512GO,14.0,SSD,32,512,0
DELL LATITUDE 5320,LAPTOP DELL LATITUDE 5320 CORE I5 1135G7 8GB DDR4 256GB SSD 13.3'' FHD,"Salam disponible chez PC CABA DZ UN LAPTOP DELL LATITUDE 5320 EN BON ETAT  la config est la suivante :

➡INTEL CORE I5 1135g7 11ÈME GÉNÉRATION JUSQU'À 4.20GHz BOOST 

➡8GB DE RAM DDR4 3200MHZ

➡256GB SSD DE STOCKAGE NVME 

➡ECRAN 13.3 POUCES FHD   NANOEDGE 
 
➡CLAVIER LUMINEUX

➡BONNE AUTONOMIE DE BATTERIE 

➡FOURNIE AVEC CHARGEUR ORIGINAL 

➡PRIX : 59 000 DA

➡LIVRAISON DISPONIBLE POUR TOUTES LES WILAYAS 

➡GARANTIE DE 3 MOIS",59000.0,2025-08-09T15:29:34.000Z,Bab ezzouar,Intégrée,Etat moyen,DELL,CORE I5 1135G7,8 GO,,INTEL IRIS  XE GRAPHICS,256GO,13.0,SSD,8,256,0
LENOVO THINKPAD X380 YOGA,"LENOVO THINKPAD X380 YOGA I7 8665U 16GB 256GB SSD 13,3 FULL HD TACTILE CONVETIBLE X360 AVEC STYLET ","🔥🔥SUPER PROMO🔥🔥
Chez magasin BR INFORMATIQUE 

✨✨ LENOVO THINKPAD X380 YOGA✨✨
Utilisé comme neuf| مستعمل في حالة الجديد 

Configuration : 

• Processeur : INTEL CORE I7 8665U (8TH) 
8 Mo de cache, jusqu'à 4,80 GHz
• RAM : 16 GB DDR4 2400MHz
• Stockage : 256 GB SSD NVMe
• Ecran : 13,3 POUCES FULL HD TACTILE CONVETIBLE X360 AVEC STYLET 
• Carte Graphique : INTEL UHD 620 GRAPHICS 
• Clavier : QWERTY LUMINEUX 
• Wi-Fi + Bluetooth + webcam + EMPREINTE DIGITALE FACE ID 
• System d’exploitation : Windows 10 Original 

✨PRIX :  70 000 DA ✨

‎VENTE AVEC CERTIFICAT DE GARANTIE 03 MOIS 
Possibilité de facturation
Livraison 58 wilaya avec paiement à la livraison 📦 🚚
‎توصيل 58 ولاية مع الدفع عند الاستلام 🚚
Heure de travail : 9H00 —> 19H00

Tel : 0541012707 / 0770299960 /0796857560/ 023830220
Maps : br informatique bab ezzouar
Email : br.informatique16@gmail.com",70000.0,2024-12-21T09:05:41.000Z,Bab ezzouar,Intégrée,Etat neuf,INTEL,INTEL CORE I7 8665U,16 GO,,INTEL UHD 620 GRAPHICS,256GO,13.3,SSD,16,256,0
HP Victus 15,HP Victus 15 Ryzen 5 8K Series 8 /512 RTX 4050 6Gb neuf sous ambalage,"HP VICTUS 15
FB2082WM
2024
NEUF SOUS EMBALLAGE
CPU AMD RYZEN 5 8645HS 4.3GHZ 
BOOST 5.0GHZ 6CORES 12 THREADS
16MO CACHE
RAM 8GO DDR5 5200MHZ
DISQUE 512GO SSD NVME 
WIFI/BLUETOOTH/WEB CAM
USB 3.1
GRAPHIC
AMD RADEON GRAPHIC +
NVIDIA GEFORCE RTX4050 6GO
GDDR6 BOOST 12GO
BANDE PASSANTE 192GO/S 
ECRAN 15.6” FULL HD 1080P LED
ANTIREFLET IPS 144HZ 3MS 
CLAVIER RETRO ECLAIRE 
WINDOWS 11 ORIGINALE
PRIX : 195000 da
- - - - - - - - - - - - - - - - - - -
MOBIL 0558 91 36 48/0663 19 84 37  watsup 
POSSIBILITE DE FACTURATION
LIVRAISON GRATUITE SUR 58 WILAYAS
GARANTIE DE 6 MOIS + SERVICE APRES VENTE",195000.0,2024-12-08T18:32:39.000Z,Alger centre,Integrée + Dédiée,Etat neuf,HP,AMD Ryzen 5 8645Hs,8 GO,Nvidia geforce rtx 4050 6gb,AMD Radeon TM Graphics,512GO,15.0,SSD,8,512,0
MacBook Air ,MacBook Air 2022 M2 /8 Gb / 256Gb,"💻 MacBook air 2022 13"" retina  💻
Puce m2/ 8gb ram / 256 ssd 
💵 Prix : 163000💵
✅Puce : m2/ 8 cores CPU, 8 cores GP2
✅Ram: 8GB, LPDDR4
✅Stockage: 256GB SSD
✅Écran : 13"" Retina 
✅Interface:2 thunderbolt type C+ Magsafe3
✅Webcam 1080 HD / Wi-Fi / Bluetooth 
✅ Mac OS Ventura  
✅Avec Chargeur Original  
✅Avec Garantie 
للاستعلام أو الطلب يرجى الاتصال او زيارة المحل
☎️ Contact : 📞 0770213961 📞 
🚕 Livraison disponible 
📄 Possibilité de facturation
🏢 (VIVRE LAPTOP) , Route de Biskra près de la mosque ben badis, Batna
Follow us on Facebook: https://web.facebook.com/vivrelaptop/
Follow us on Instagram : https://www.instagram.com/vivrelaptop/?hl=fr",163000.0,2024-11-26T19:22:21.000Z,Batna,Intégrée,Etat neuf,APPLE,M1,8 GO,Chip m2,Chip m2,256GO,13.0,SSD,8,256,0
Ammple Macbook pro m1 pro,Apple Macbook m1 pro,"Apple macbook m1 pro
16 ram
512 ssd
Cycle 247
Chargeur Original

*** fih quelque touches dakhlin mais ymchiw***

Pas d’echange, vente berk
 ",200000.0,2025-07-24T16:05:39.000Z,Blida,Intégrée,Bon état,,M1 pro,16 GO,,M1 pro,512GO,14.0,SSD,16,512,0
LENOVO THINKBOOK 14,"LENOVO THINKBOOK 14 I7 13th 16 GB 1 TB SSD FHD 14""","Disponible chez TRETEC INFORMATIQUE Magasin de service , vente et dépannage de matériel informatique -BAB EZZOUAR-
ORDINATEUR PORTABLE Importé d’Europe ""Caba"" Très Haute Qualité et Bonne Prix Avec **GARANTIE**
------------------------------------------
• FOURNIR AVEC CHARGEUR ORIGINAL
• LIVRAISON A DOMICILE
• GARANTIE 02 MOIS + SERVICE APRES VENTE
------------------------------------
• PRODUIT : ORDINATEUR PORTABLE
• MARQUE : LENOVO
• MODELE : THINKBOOK 14 
-------------------------------------
CARACTERISTIQUE :
• PROCESSEUR : Intel® Core™ i7-13700H ""13th Génération"" 12M Cache, up to 4.40 GHz, with IPU
• MEMOIRE : 16 GB
• STOCKAGE : 1TB SSD
• ECRAN : 14"" 2K (2048 x 1080)
• CARTE GRAPHIQUE INTIGREE : Intel® UHD Graphics
• CLAVIER LUMINEUX
• LECTEUR EMPREINTE
• INTERFACES : 2 X USB 3.0 / 2 X USB TYPE C / 1 X HDMI
• WIFI + BLEUTHOOT + WEB CAM
• SYSTEM D’EXPLOITATION : WINDOWS Original


PRIX : 125 000,00 DZD


*** Note : POSSIBILITÉ DE FACTURATION POUR LES ENTREPRISES ***
-----------------------------------
•Contact : -
• Email :
• Page Facebook :
• SITE Web :
•
",125000.0,2025-07-22T08:06:48.000Z,Bab ezzouar,Intégrée,Bon état,LENOVO,I7 13700H,16 GO,,INTEL UHD GRAPHICS,1TBGO,14.0,SSD,16,1024,0
